,precision,recall,f1-score,support
0,1.0,1.0,1.0,61.0
1,1.0,1.0,1.0,55.0
2,1.0,1.0,1.0,60.0
3,1.0,1.0,1.0,54.0
4,1.0,1.0,1.0,64.0
5,1.0,1.0,1.0,68.0
6,1.0,1.0,1.0,75.0
7,1.0,1.0,1.0,72.0
8,1.0,1.0,1.0,59.0
9,1.0,1.0,1.0,62.0
A,1.0,1.0,1.0,60.0
B,1.0,1.0,1.0,57.0
C,1.0,1.0,1.0,65.0
D,1.0,1.0,1.0,59.0
E,1.0,1.0,1.0,64.0
F,1.0,1.0,1.0,48.0
G,1.0,1.0,1.0,52.0
H,1.0,1.0,1.0,71.0
I,1.0,1.0,1.0,62.0
J,1.0,1.0,1.0,64.0
K,1.0,1.0,1.0,50.0
L,1.0,1.0,1.0,59.0
M,1.0,1.0,1.0,56.0
N,1.0,1.0,1.0,58.0
O,1.0,1.0,1.0,52.0
P,1.0,1.0,1.0,58.0
Q,1.0,1.0,1.0,52.0
R,1.0,1.0,1.0,56.0
S,1.0,1.0,1.0,78.0
T,1.0,1.0,1.0,61.0
U,1.0,1.0,1.0,62.0
V,1.0,1.0,1.0,72.0
W,1.0,1.0,1.0,57.0
X,1.0,1.0,1.0,56.0
Y,1.0,1.0,1.0,75.0
Z,1.0,1.0,1.0,45.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,2179.0
weighted avg,1.0,1.0,1.0,2179.0
